f1,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.261738750845238,0.08131012327350123,gini,0,1,2
0.2985058800848275,0.05735859028265678,gini,0,1,5
0.3369738428696566,0.08696150098032773,gini,0,1,10
0.3299482031647238,0.07493896018369156,gini,0,1,15
0.38969861180387494,0.10265281240016147,gini,0,1,20
0.30040085083728346,0.13067865820778152,gini,0,5,2
0.30040085083728346,0.13067865820778152,gini,0,5,5
0.30040085083728346,0.13067865820778152,gini,0,5,10
0.29468656512299773,0.14450948558046764,gini,0,5,15
0.3320826709062003,0.16582373206659687,gini,0,5,20
0.3201249181226934,0.1376686289345549,gini,0,10,2
0.3201249181226934,0.1376686289345549,gini,0,10,5
0.3201249181226934,0.1376686289345549,gini,0,10,10
0.3201249181226934,0.1376686289345549,gini,0,10,15
0.3201249181226934,0.1376686289345549,gini,0,10,20
0.2902237383981806,0.14627042735619425,gini,0,15,2
0.2902237383981806,0.14627042735619425,gini,0,15,5
0.2902237383981806,0.14627042735619425,gini,0,15,10
0.2902237383981806,0.14627042735619425,gini,0,15,15
0.2902237383981806,0.14627042735619425,gini,0,15,20
0.3460728519049897,0.15600827532299,gini,0,20,2
0.3460728519049897,0.15600827532299,gini,0,20,5
0.3460728519049897,0.15600827532299,gini,0,20,10
0.3460728519049897,0.15600827532299,gini,0,20,15
0.3460728519049897,0.15600827532299,gini,0,20,20
0.3881065371739691,0.13339383276254693,gini,2,1,2
0.3881065371739691,0.13339383276254693,gini,2,1,5
0.3881065371739691,0.13339383276254693,gini,2,1,10
0.3881065371739691,0.13339383276254693,gini,2,1,15
0.3881065371739691,0.13339383276254693,gini,2,1,20
0.3881065371739691,0.13339383276254693,gini,2,5,2
0.3881065371739691,0.13339383276254693,gini,2,5,5
0.3881065371739691,0.13339383276254693,gini,2,5,10
0.3881065371739691,0.13339383276254693,gini,2,5,15
0.3881065371739691,0.13339383276254693,gini,2,5,20
0.3881065371739691,0.13339383276254693,gini,2,10,2
0.3881065371739691,0.13339383276254693,gini,2,10,5
0.3881065371739691,0.13339383276254693,gini,2,10,10
0.3881065371739691,0.13339383276254693,gini,2,10,15
0.3881065371739691,0.13339383276254693,gini,2,10,20
0.3881065371739691,0.13339383276254693,gini,2,15,2
0.3881065371739691,0.13339383276254693,gini,2,15,5
0.3881065371739691,0.13339383276254693,gini,2,15,10
0.3881065371739691,0.13339383276254693,gini,2,15,15
0.3881065371739691,0.13339383276254693,gini,2,15,20
0.3881065371739691,0.13339383276254693,gini,2,20,2
0.3881065371739691,0.13339383276254693,gini,2,20,5
0.3881065371739691,0.13339383276254693,gini,2,20,10
0.3881065371739691,0.13339383276254693,gini,2,20,15
0.3881065371739691,0.13339383276254693,gini,2,20,20
0.3258606480617866,0.12544234405271365,gini,5,1,2
0.3258606480617866,0.12544234405271365,gini,5,1,5
0.3750057854082621,0.11130030729144107,gini,5,1,10
0.3581636801451043,0.11644149180297295,gini,5,1,15
0.3850102838338133,0.10974107226530884,gini,5,1,20
0.3107018670253964,0.14542841961064382,gini,5,5,2
0.3107018670253964,0.14542841961064382,gini,5,5,5
0.3107018670253964,0.14542841961064382,gini,5,5,10
0.3107018670253964,0.14542841961064382,gini,5,5,15
0.33418477300830246,0.16836495443061084,gini,5,5,20
0.3201249181226934,0.1376686289345549,gini,5,10,2
0.3201249181226934,0.1376686289345549,gini,5,10,5
0.3201249181226934,0.1376686289345549,gini,5,10,10
0.3201249181226934,0.1376686289345549,gini,5,10,15
0.3201249181226934,0.1376686289345549,gini,5,10,20
0.2902237383981806,0.14627042735619425,gini,5,15,2
0.2902237383981806,0.14627042735619425,gini,5,15,5
0.2902237383981806,0.14627042735619425,gini,5,15,10
0.2902237383981806,0.14627042735619425,gini,5,15,15
0.2902237383981806,0.14627042735619425,gini,5,15,20
0.3460728519049897,0.15600827532299,gini,5,20,2
0.3460728519049897,0.15600827532299,gini,5,20,5
0.3460728519049897,0.15600827532299,gini,5,20,10
