Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
52.0,No,Travel_Rarely,593,Research & Development,9,4,Medical,2,Male,88,3,3,Research Director,3,Single,8446.0,13782,9,,No,17,3.0,3,80.0,0,20,2.0,2,8.0,7,2,13
36.0,No,Travel_Rarely,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,4834.0,8213,1,,Yes,14,3.0,3,80.0,1,21,3.0,3,1.0,8,1,6
,No,Travel_Frequently,530,Sales,16,3,Life Sciences,3,,36,3,2,Sales Executive,4,Divorced,4768.0,16130,1,Y,Yes,25,3.0,3,,1,7,4.0,3,1.0,5,1,2
33.0,No,Travel_Rarely,953,Research & Development,5,4,Technical Degree,2,Male,65,3,1,Research Scientist,2,Single,2799.0,17674,2,Y,No,14,3.0,2,,0,12,1.0,3,3.0,7,0,7
,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,7978.0,6319,1,,No,12,3.0,3,80.0,0,2,,3,10.0,2,2,1
35.0,No,Travel_Rarely,693,Research & Development,7,3,Life Sciences,4,Male,57,4,1,Research Scientist,3,Divorced,2269.0,15748,1,Y,No,11,3.0,4,,3,4,2.0,3,1.0,2,0,3
27.0,No,,1401,Sales,4,2,Life Sciences,3,Male,56,3,1,Sales Representative,2,Married,8726.0,20990,2,,No,11,3.0,1,80.0,1,6,0.0,3,9.0,3,1,2
37.0,No,,326,Sales,8,2,Life Sciences,1,Female,31,3,3,Sales Executive,4,Divorced,5731.0,8386,1,Y,No,18,3.0,1,,1,13,2.0,3,6.0,7,9,9
42.0,No,Travel_Rarely,145,Sales,1,3,Life Sciences,4,,95,3,2,Sales Executive,3,Married,5410.0,24920,0,Y,No,12,3.0,1,,1,19,3.0,3,4.0,7,0,13
23.0,No,Travel_Frequently,1410,Sales,3,1,Medical,4,Male,71,4,2,Sales Executive,4,Divorced,1790.0,16673,1,Y,Yes,20,3.0,2,80.0,2,6,,3,1.0,5,0,4
